# Transcribed verbatim from the appendix table "Experimental Results for ResNet-50"
# of: M. Zouhdi, J. Guo, R. Hammadi, B. Sun, P. Leleux, T. Kloda, M. Caccamo,
# "Pruning of Deep Neural Networks for Real-Time Execution on Edge TPU",
# 29th Euromicro Conference on Digital System Design (DSD), Krakow, Poland, 2026.
# Included here, by a co-author of that paper, so that the re-analysis in
# docs/PRUNING_HAZARDS.md section 2 can be checked without the paper's LaTeX source.
# 64 rows = 1 unpruned baseline (empty target_pct) + 9 targets x 7 criteria.
# CIFAR-100, ResNet-50, INT8. Latency: Coral USB Edge TPU. Memory columns as
# reported by edgetpu_compiler. NOT measured by this repository.
target_pct,importance,acc_top1,delta_acc,tpu_latency_ms,tpu_speedup,cpu_speedup,params_reduction_pct,macs_reduction_pct,size_mb,onchip_mb,offchip_mb
,baseline,77.4,0.0,50.92,1.0,1.0,0.0,0.0,23.3,7.66,15.26
10,magnitude_l1,77.89,0.49,45.84,1.11,1.32,10.0,28.5,20.98,7.66,13.59
10,magnitude_l2,77.64,0.24,45.15,1.13,1.31,10.0,27.1,20.97,7.66,13.5
10,bn_scale,77.45,0.05,45.44,1.12,1.25,10.1,24.4,20.97,7.66,13.54
10,fpgm,77.38,-0.02,43.9,1.16,1.24,10.0,20.2,20.96,7.65,13.02
10,taylor,77.63,0.23,46.11,1.1,1.33,9.4,29.8,21.12,7.65,13.75
10,obdc,77.43,0.03,45.55,1.12,1.35,9.8,29.5,21.03,7.66,13.61
10,random,77.57,0.17,47.0,1.08,1.07,10.1,10.4,20.99,7.65,14.04
20,magnitude_l1,77.66,0.26,39.0,1.31,1.55,20.0,40.5,18.65,7.66,11.57
20,magnitude_l2,77.73,0.33,38.59,1.32,1.52,20.1,38.7,18.64,7.66,11.48
20,bn_scale,77.49,0.09,38.41,1.33,1.5,20.0,37.1,18.65,7.66,11.45
20,fpgm,77.82,0.42,36.92,1.38,1.43,20.1,32.2,18.62,7.66,10.98
20,taylor,77.47,0.07,38.76,1.31,1.62,20.0,43.1,18.66,7.66,11.54
20,obdc,77.6,0.2,37.94,1.34,1.6,20.1,41.6,18.64,7.66,11.29
